Tf_name	AUC_0	AUC_1	AUC_2	AUC_3	AUC_4	AUC_5	AUC_6	AUC_7	AUC_8	AUC_9	AUC_10	AUC_11	AUC_12	AUC_13	AUC_14	AUC_15	AUC_16	AUC_17	AUC_18	AUC_19	AUC_20	AUC_21	AUC_22	AUC_23	AUC_24	AUC_25	AUC_26	AUC_27	AUC_28	AUC_29	AUC_30	AUC_31	AUC_32	AUC_33	AUC_34	AUC_35	AUC_36	AUC_37	AUC_38	AUC_39	AUC_40	AUC_41	AUC_42	AUC_43	AUC_44	AUC_45	AUC_46	AUC_47	AUC_48	AUC_49	AUC_50	AUC_51	AUC_52	AUC_53	AUC_54	AUC_55	AUC_56	AUC_57	AUC_58	AUC_59	AUC_60	AUC_61	AUC_62	AUC_63	AUC_64	AUC_65	AUC_66	AUC_67	AUC_68	AUC_69	AUC_70	AUC_71	AUC_72	AUC_73	AUC_74	AUC_75	AUC_76	AUC_77	AUC_78	AUC_79	AUC_80	AUC_81	AUC_82	AUC_83	AUC_84	AUC_85	AUC_86	AUC_87	AUC_88	AUC_89	AUC_90	
Irf3	0.946206986758	0.951349472155	0.940322730543	0.953163454621	0.949311753711	0.951659260432	0.95022046599	0.950750548153	0.948172421271	0.950337497117	0.886417849312	0.925664581906	0.951666144616	0.63513136744	0.730580577652	0.749243600291	0.774625586446	0.774081735916	0.777671837836	0.778740607392	0.808296130056	0.803539158959	0.927698858258	0.94920504886	0.950760874429	0.651221426334	0.620118683331	0.696011648039	0.604806537221	0.685323952485	0.762192750266	0.590640607736	0.671605494956	0.75372520403	0.757876366941	0.591907297579	0.684112336113	0.749728935258	0.763235704132	0.776721820454	0.615686989925	0.660272407158	0.738349379219	0.755659659715	0.770013183212	0.766030682808	0.622018718096	0.692986049201	0.774838996148	0.786858781293	0.79580133622	0.803508180132	0.807965689227	0.568456325016	0.642876074363	0.732119192761	0.75755969448	0.77468410201	0.78088330964	0.779399768003	0.779231105497	0.881304621697	0.897501385442	0.914500156615	0.918933571067	0.920720016797	0.918592803963	0.922620051563	0.922267237136	0.925633603079	0.752912870326	0.806103517474	0.854974339204	0.862226826976	0.871981715607	0.873062532485	0.870842383167	0.873682109039	0.886104618943	0.889178407069	0.620399213826	0.659353368603	0.741681324242	0.750303764616	0.770546707467	0.776370727073	0.77125233632	0.766581417522	0.807624922123	0.805208573563	0.927540522028	
Jund	0.90570879139	0.904688936091	0.90222894099	0.901855306019	0.903659794757	0.90372092173	0.904938781628	0.903779197087	0.905307810141	0.90694244486	0.875048495772	0.885335668247	0.90445832069	0.754252309627	0.798741193804	0.821940196469	0.830529486819	0.832791331084	0.840693674163	0.841070014514	0.84696876748	0.844974317166	0.88345169982	0.902804382716	0.905582662167	0.635373141422	0.596668360576	0.800394693067	0.637592211429	0.793652153885	0.8175563103	0.567383129394	0.792455717675	0.814843764281	0.827897444147	0.59675398221	0.794531475639	0.824837073948	0.835888626069	0.837105096717	0.736090286588	0.794987807509	0.817501398389	0.829110258876	0.83412369438	0.838909731692	0.61391888977	0.787250565754	0.817494744616	0.830133623857	0.837757020279	0.84096487027	0.845654537544	0.542059233207	0.766768861803	0.79607836829	0.812958772196	0.823282723221	0.829392057149	0.838410186854	0.839546300392	0.755735077451	0.841579795927	0.859445689488	0.87019796804	0.876050144592	0.878478186956	0.881561443211	0.883442486903	0.884885185849	0.65149655064	0.819246441876	0.847354613222	0.855127536751	0.860941472385	0.864865370765	0.869470074471	0.870926665911	0.874323526939	0.869746388866	0.68117142972	0.794228692387	0.814971209634	0.825291358503	0.831417948371	0.836139568382	0.843511071952	0.844775069554	0.852808660142	0.848536791346	0.886465274249	
Mafk	0.960451717653	0.960693061796	0.962342194105	0.96282726043	0.962504613074	0.962711722029	0.962734891838	0.962113945243	0.961361569164	0.963455517887	0.952055704077	0.962122680786	0.92071512571	0.817975297406	0.84361862006	0.860275120433	0.871265911596	0.875159178623	0.877419236559	0.880716397853	0.892779791565	0.889816760768	0.919349472746	0.920184940922	0.963035965456	0.57748557741	0.634432056458	0.841950849069	0.662090675813	0.844576669701	0.862895135223	0.612709380411	0.845675082538	0.863773134942	0.868118256091	0.627062075507	0.841823977494	0.860124398844	0.86899517391	0.87475503524	0.605318425588	0.845742267486	0.861101745947	0.868439837615	0.876367238323	0.879048412625	0.608608608089	0.846857519407	0.864711099797	0.876156240952	0.884439361964	0.887949266666	0.889645017103	0.53947706973	0.821823156749	0.842799653543	0.857086850813	0.867962355305	0.87160695126	0.874544316378	0.876653941946	0.68108674845	0.883417431992	0.892856965346	0.900643579739	0.906659888971	0.908601214745	0.910069948186	0.913141468962	0.920199701901	0.584940675006	0.844619881449	0.864200121421	0.870294161452	0.87717320061	0.87921337031	0.881187024556	0.881700493445	0.894707700702	0.892767065844	0.919667872839	0.934173576511	0.939719414363	0.941438013252	0.944322783011	0.944803034343	0.945049155987	0.946163540246	0.949677965364	0.94884296851	0.962081595348	
Max	0.927216447894	0.926080858015	0.92430978409	0.926783590305	0.927599705239	0.927334069585	0.926453453308	0.926618097902	0.928548214096	0.927879807914	0.888890292861	0.909147709241	0.927335507469	0.782941188232	0.804593610615	0.823623080146	0.83928132021	0.845039702984	0.849296147245	0.852854498428	0.86249210452	0.862502698747	0.908771919401	0.927282041215	0.928446788956	0.648357299346	0.676577280964	0.801114580483	0.668717714399	0.802747312254	0.824501566725	0.670048395405	0.801037178872	0.823553681856	0.834989328996	0.6555269525	0.800033060499	0.823001371308	0.836241129811	0.845949619555	0.747553350817	0.80018589002	0.818636638043	0.832132862293	0.843860684914	0.848254508217	0.749624786671	0.816127529043	0.832524950421	0.843154880162	0.852888939839	0.856373768987	0.861722286764	0.643973663322	0.788473355099	0.809034918029	0.824179304182	0.837430660718	0.842807698804	0.847818293302	0.851906627124	0.792437596749	0.863064531891	0.878277027663	0.890824227589	0.900243248059	0.904594911494	0.905820565866	0.908331601089	0.907056902637	0.70201214074	0.831939242964	0.851350430218	0.862827721757	0.870812113002	0.873878097156	0.876559250431	0.878964085653	0.888403840151	0.889005967982	0.725654778832	0.794787860172	0.818605391178	0.833333258726	0.844530250899	0.848160767622	0.851615116326	0.85526810339	0.863596189801	0.863866274759	0.908653633028	
Pou2f2	0.939852731221	0.940106098702	0.937951545896	0.939532607353	0.939286378647	0.939240448601	0.941489663911	0.939676120311	0.934440390027	0.940960598156	0.904641170702	0.923290657427	0.935301497272	0.788054488787	0.831185958633	0.846984095106	0.856581350844	0.861302941901	0.869682948165	0.872917314294	0.878728069878	0.870978222668	0.916699533543	0.935577874025	0.940350114979	0.68358693779	0.685286703491	0.824622858862	0.689361586516	0.816574068114	0.842503275429	0.660607991096	0.82006286369	0.84282201284	0.854730461426	0.662429794435	0.814172018141	0.840390257308	0.856363559237	0.862807128792	0.750868260769	0.814398187483	0.844225814409	0.85189663362	0.860265636732	0.865620159756	0.721199545313	0.804216909231	0.832353295686	0.850885730116	0.861925962181	0.869637342608	0.87750338664	0.607726578346	0.768470117652	0.799854587302	0.820760428112	0.838458982935	0.847618295533	0.857620366958	0.859660492886	0.792871892812	0.883988579377	0.895081585273	0.899832527901	0.904173905492	0.907567625577	0.910050208001	0.911335895308	0.917831796206	0.746606206167	0.863455724763	0.878321484247	0.886334197636	0.891540841841	0.894222631459	0.894837863987	0.897108761111	0.903176453562	0.898713008835	0.78193201657	0.8340526484	0.851591613274	0.85924901041	0.867120954255	0.871561566705	0.873844174958	0.876106723846	0.884654992785	0.880397717032	0.923667832489	
Rxra	0.728594183631	0.735308665822	0.715739672014	0.738755460639	0.733766188051	0.744009809111	0.736333194807	0.736681996706	0.708417700352	0.738516824548	0.649308750618	0.704248452503	0.738077856172	0.489013013959	0.536365616148	0.535546790848	0.551077040919	0.551926504048	0.553409140273	0.556479024613	0.612370741609	0.610827898791	0.698984925719	0.73428963861	0.735146585191	0.519722860894	0.474463252623	0.48147686432	0.480354189985	0.508106352221	0.546229771406	0.485523743378	0.505255782584	0.548783714714	0.543567722195	0.489598835314	0.515048545183	0.555666717999	0.551315546635	0.556290008767	0.5037352076	0.505595354022	0.544746274714	0.546873583	0.54977497232	0.550023047469	0.52463177111	0.564010559021	0.611907523717	0.603910555063	0.603595415663	0.611368454384	0.612868039196	0.47549070198	0.495717405223	0.522565321284	0.527979820857	0.537077795731	0.543656584935	0.549994469546	0.552958803307	0.604657935555	0.63808221587	0.656065708573	0.6586796238	0.662406304957	0.669805588246	0.672640669483	0.672821263185	0.702581337437	0.523435539912	0.563629267986	0.602646529521	0.594188559329	0.60466202929	0.601674228257	0.607420894039	0.61782774302	0.657529753503	0.651393478841	0.494383629731	0.530337864586	0.572392755997	0.568182909766	0.569525837494	0.571993968807	0.573201307847	0.566832446436	0.632517291078	0.626918625563	0.696488503305	
Sp1	0.909414527824	0.909470585084	0.902549305277	0.910358110416	0.908447481227	0.909756286156	0.909626540934	0.909288392448	0.908158144149	0.910396563133	0.835084379387	0.879110412347	0.906945104796	0.581196364999	0.654411829332	0.695472686957	0.721446634116	0.726344777839	0.732379290905	0.737055376726	0.756384877483	0.75401791656	0.874182369675	0.907347890468	0.909298646506	0.585565142983	0.573543437236	0.629010042908	0.592571463459	0.644791456528	0.701448866989	0.560973819507	0.626217198524	0.69057708059	0.710032742881	0.569101128239	0.638451492865	0.695616871566	0.719640768962	0.727846395678	0.585127409808	0.627850183401	0.684476936322	0.707050957018	0.727265367275	0.73274082492	0.587939611342	0.644123608692	0.701972373266	0.72987994277	0.744890758708	0.746810229406	0.753627085236	0.542056756838	0.594291215453	0.659523948038	0.691217854575	0.717872728726	0.722630794694	0.731453626756	0.736204028338	0.787445569787	0.828463998631	0.849483980232	0.86254066571	0.869541519099	0.869755494082	0.873081941851	0.875158885581	0.877958975816	0.680838681487	0.725057553516	0.773885519931	0.791212340403	0.805965104604	0.807005289838	0.808233501012	0.811809760649	0.821981027482	0.822343843254	0.627845317955	0.669947433305	0.725125434333	0.746377989476	0.753729599656	0.760000348429	0.763871386072	0.766272719016	0.774012727797	0.77140299159	0.879076432701	
Srf	0.95384831219	0.954222425172	0.955510314115	0.955670112374	0.95598370708	0.956254288795	0.955951697413	0.956427341057	0.949675301941	0.958406188669	0.946635884037	0.942524392366	0.905526218918	0.7328400677	0.774479392777	0.805104641602	0.827022260723	0.829080632351	0.829000858259	0.828574479493	0.854394026996	0.848925125388	0.881572234815	0.907295503242	0.955255487157	0.613991175335	0.626689510232	0.777576578127	0.620235811215	0.775061818669	0.809531228431	0.59264797969	0.775348155143	0.805177163503	0.81470404062	0.613023383062	0.782498564566	0.807633155213	0.817281068883	0.827487901346	0.657803656704	0.765072801986	0.796042904957	0.809809312412	0.824496748018	0.827998305488	0.610573393165	0.791685338972	0.824244921966	0.841304824057	0.853210919698	0.85717036545	0.856228330956	0.544335389288	0.719070409264	0.764228797097	0.791393250762	0.812423601928	0.815279714474	0.817328583232	0.815505782746	0.697455881676	0.835164969821	0.84064612513	0.861782258242	0.867489731899	0.869870700952	0.873202957293	0.871649738221	0.887474517304	0.68847241867	0.820332490412	0.840735902242	0.851151797843	0.863978171408	0.868428765487	0.867908358324	0.867477228123	0.885506673015	0.882176917429	0.82892933666	0.867947870257	0.889396097621	0.900542463824	0.909981564432	0.910509223786	0.910808814262	0.910868582312	0.92948920574	0.930401981398	0.943598716812	
Tbp	0.669436430035	0.650210853328	0.647139268954	0.65161915857	0.652386558927	0.653274671161	0.65034982484	0.655406008328	0.652165873488	0.652457779761	0.610298185604	0.605314462291	0.652931125653	0.525265219116	0.537649877718	0.554003404058	0.556265863573	0.556237441338	0.562075484169	0.559220536718	0.551669971578	0.553891532818	0.606547441999	0.651780355608	0.655903397449	0.550090637187	0.532264772953	0.541238432811	0.538201054267	0.52737804878	0.548723312843	0.520580177143	0.530707416221	0.549810050235	0.547586010311	0.530417410272	0.530927358054	0.549202194461	0.557074657942	0.565299011832	0.54059050499	0.535812760262	0.553204111309	0.557859078591	0.557032520325	0.555557703748	0.519030669575	0.530535312975	0.544245571419	0.55475576707	0.553346883469	0.550137649547	0.556577764558	0.530970817635	0.522976072444	0.542535858285	0.556339810959	0.555915873488	0.55432918567	0.569300598189	0.564081152092	0.611627255602	0.572481079384	0.580572080111	0.593373240135	0.600895961399	0.603743224932	0.606829764029	0.604046615771	0.606033115209	0.552510327847	0.575601989556	0.600274885981	0.612363837663	0.616891483244	0.61403587481	0.614807158437	0.619367357393	0.608200228039	0.611233558067	0.529095032719	0.518408685306	0.530029083218	0.54715314958	0.553028537907	0.554539956375	0.560948013748	0.559735111376	0.554275480865	0.551047243704	0.603931026505	
Tcf7l2	0.848143141289	0.849891015089	0.829208710562	0.851332510288	0.85083696845	0.850544375857	0.852971742112	0.84949691358	0.844733813443	0.852096364883	0.808949382716	0.847647119342	0.847402812071	0.685353155007	0.748816323731	0.771548079561	0.773008847737	0.777793415638	0.777743621399	0.780749314129	0.801708093278	0.80694170096	0.840241015089	0.847270507545	0.851460631001	0.614028600823	0.525713648834	0.704436694102	0.56126659808	0.713143895748	0.764078875171	0.533282441701	0.7077281893	0.767303978052	0.777344993141	0.533545610425	0.703940123457	0.753610150892	0.767482030178	0.772233813443	0.656874142661	0.713154526749	0.767492524005	0.779874348422	0.780537311385	0.784987517147	0.599113580247	0.724543072702	0.788706995885	0.794250411523	0.793923731139	0.800813100137	0.799927297668	0.535866049383	0.709894855967	0.765367832647	0.778543621399	0.777499931413	0.780277914952	0.781840192044	0.780809807956	0.681234705075	0.790426337449	0.817671399177	0.826728943759	0.832494101509	0.832990123457	0.83173861454	0.833672770919	0.839742866941	0.526518106996	0.705116941015	0.770119684499	0.776707475995	0.777534430727	0.781367146776	0.781389849108	0.787385939643	0.804454526749	0.803980041152	0.686296844993	0.721287860082	0.779840740741	0.784167078189	0.786773045267	0.78888340192	0.792600411523	0.792209739369	0.808388203018	0.80866563786	0.848618038409	
